node,edge_id,source_node,target_node,source_type,target_type,x,y
電腦及週邊設備,1,電腦及週邊設備,鴻海 2317,industry,company,1.5805132497972618,0.6758462090707142
電腦及週邊設備,2,電腦及週邊設備,南亞科 2408,industry,company,1.5805132497972618,0.6758462090707142
鴻海 2317,1,鴻海 2317,電腦及週邊設備,company,industry,1.9784925877879584,0.7256290062883599
鴻海 2317,3,鴻海 2317,電動車輛產業,company,industry,1.9784925877879584,0.7256290062883599
鴻海 2317,4,鴻海 2317,通信網路,company,industry,1.9784925877879584,0.7256290062883599
鴻海 2317,10,鴻海 2317,連接器,company,industry,1.9784925877879584,0.7256290062883599
南亞科 2408,2,南亞科 2408,電腦及週邊設備,company,industry,1.2848447165013634,0.4533779174716344
南亞科 2408,5,南亞科 2408,通信網路,company,industry,1.2848447165013634,0.4533779174716344
南亞科 2408,6,南亞科 2408,半導體,company,industry,1.2848447165013634,0.4533779174716344
電動車輛產業,3,電動車輛產業,鴻海 2317,industry,company,2.1693203161935166,0.9794656389591632
通信網路,4,通信網路,鴻海 2317,industry,company,1.6924495972581408,0.5076952786483628
通信網路,5,通信網路,南亞科 2408,industry,company,1.6924495972581408,0.5076952786483628
半導體,6,半導體,南亞科 2408,industry,company,0.8151500116760549,0.2653896710278141
半導體,7,半導體,台積電 2330,industry,company,0.8151500116760549,0.2653896710278141
半導體,8,半導體,穩懋 3105,industry,company,0.8151500116760549,0.2653896710278141
台積電 2330,7,台積電 2330,半導體,company,industry,0.7607326233457723,0.0
穩懋 3105,8,穩懋 3105,半導體,company,industry,0.3604135783752225,0.24057954154785421
穩懋 3105,9,穩懋 3105,太空衛星科技,company,industry,0.3604135783752225,0.24057954154785421
太空衛星科技,9,太空衛星科技,穩懋 3105,industry,company,0.0,0.20879684025599698
連接器,10,連接器,鴻海 2317,industry,company,2.3580833190647095,0.6957143477480171
